Player,Nationality,Height,born,Age
César Azpilicueta,Spain,180,5/29/1999,24
Ainsley Maitland-Niles,England,180,8/29/1997,25
Eddie Nketiah,England,180,5/30/1999,24
Tom Davies,England,180,6/30/1998,25
Ollie Watkins,England,180,12/30/1995,27
Jamie Vardy,England,179,1/11/1987,36
Álex Moreno,Spain,179,6/8/1993,30
Bruno Fernandes,Portugal,179,9/8/1994,28
Kalvin Phillips,England,179,12/2/1995,27
Konstantinos Tsimikas,Greece,179,5/12/1996,27
Ibrahima Diallo,France,179,3/8/1999,24
Reece James,England,179,12/8/1999,23
Elliot Anderson,Scotland,179,11/6/2002,20
Lewis Hall,England,179,9/8/2004,18
Ché Adams,Scotland,179,7/13/1996,27
Ivan Toney,England,179,3/16/1996,27
Riyad Mahrez,Algeria,179,2/21/1991,32
Brennan Johnson,Wales,179,5/23/2001,22
Jefferson Lerma,Colombia,179,10/25/1994,28
Maxwel Cornet,Cote D’Ivoire,179,9/27/1996,26
Samuel Edozie,England,179,1/28/2003,20
Mohamed Elyounoussi,Norway,178,8/4/1994,29
Andrew Robertson,Scotland,178,3/11/1994,29
Luke Shaw,England,178,7/12/1995,28
Andreas Pereira,Brazil,178,1/1/1996,27
Diogo Jota,Portugal,178,12/4/1996,26
Leon Bailey,Jamaica,178,8/9/1997,25
James Bree,England,178,12/11/1997,25
Kiernan Dewsbury-Hall,England,178,9/6/1998,24
Moisés Caicedo,Ecuador,178,11/2/2001,21
Bukayo Saka,England,178,9/5/2001,21
Marcel Sabitzer,Austria,178,3/17/1994,29
Martin Ødegaard,Norway,178,12/17/1998,24
Orel Mangala,Belgium,178,3/18/1998,25
Ryan Sessegnon,England,178,5/18/2000,23
Gabriel Martinelli,Brazil,178,6/18/2001,22
Christian Pulisic,United States,178,9/18/1998,24
John McGinn,Scotland,178,10/18/1994,28
Deniz Undav,Germany,178,7/19/1996,27
Kaoru Mitoma,Japan,178,5/20/1997,26
Lucas Digne,France,178,7/20/1993,30
Jorginho,Italy,178,12/20/1991,31
Ryan Christie,Scotland,178,2/22/1995,28
Pablo Fornals,Spain,178,2/22/1996,27
Marcus Tavernier,England,178,3/22/1999,24
Brenden Aaronson,United States,178,10/22/2000,22
Danny Ings,England,178,7/23/1992,31
Jeffrey Schlupp,Ghana,178,12/23/1992,30
Adama Traoré,Spain,178,1/25/1996,27
Anthony Elanga,Sweden,178,4/27/2002,21
Kyle Walker,England,178,5/28/1990,33
Eberechi Eze,England,178,6/29/1998,25
Arnaut Danjuma,Netherlands,178,1/31/1997,26
Séamus Coleman,Ireland,177,10/11/1988,34
James Ward-Prowse,England,177,11/1/1994,28
Gustavo Scarpa,Brazil,177,1/5/1994,29
Mateo Kovacic,Croatia,177,5/6/1994,29
Douglas Luiz,Brazil,177,5/9/1998,25
Dango Ouattara,Burkina Faso,177,2/11/2002,21
Moussa Djenepo,Mali,177,6/15/1998,25
Nélson Semedo,Portugal,177,11/16/1993,29
Hwang Hee-Chan,South Korea,177,1/26/1996,27
Danilo,Brazil,177,4/29/2001,22
Saman Ghoddos,Iran,176,9/6/1993,29
Emerson,Italy,176,8/3/1994,29
Yoane Wissa,DR Congo,176,9/3/1996,26
Youri Tielemans,Belgium,176,5/7/1997,26
João Gomes,Brazil,176,2/12/2001,22
Pedro Porro,Spain,176,9/13/1999,23
André Ayew,Ghana,176,12/17/1989,33
Sèrge Aurier,Cote D’Ivoire,176,12/24/1992,30
Ashley Young,England,175,7/9/1985,38
James Milner,England,175,1/4/1986,37
Willian,Brazil,175,8/9/1988,34
Adam Forshaw,England,175,10/8/1991,31
Ricardo Pereira,Portugal,175,10/6/1993,29
Jonny,Spain,175,3/3/1994,29
Jack Grealish,England,175,9/10/1995,27
Lewis Cook,England,175,2/3/1997,26
Gabriel Jesus,Brazil,175,4/3/1997,26
Shandon Baptiste,Grenada,175,4/8/1998,25
Tyrick Mitchell,England,175,9/1/1999,23
Reiss Nelson,England,175,12/10/1999,23
Mykhailo Mudryk,Ukraine,175,1/5/2001,22
Tyler Adams,United States,175,2/14/1999,24
Tetê,Brazil,175,2/15/2000,23
Mohamed Salah,Egypt,175,6/15/1992,31
Alex Oxlade-Chamberlain,England,175,8/15/1993,29
Emmanuel Dennis,Nigeria,175,11/15/1997,25
